"","Module","Symbol","X0rder","Function","Module_gene"
"53","M3.4","DDX58",991,"M3.4.Interferon","M3.4_DDX58"
"54","M3.4","STAT2",998,"M3.4.Interferon","M3.4_STAT2"
"55","M3.4","STAT1",1001,"M3.4.Interferon","M3.4_STAT1"
"56","M3.6","TARP",1161,"M3.6.Cytotoxic/NK Cell","M3.6_TARP"
"57","M3.6","KLRK1",1165,"M3.6.Cytotoxic/NK Cell","M3.6_KLRK1"
"58","M3.6","PRF1",1166,"M3.6.Cytotoxic/NK Cell","M3.6_PRF1"
"59","M3.6","IL2RB",1172,"M3.6.Cytotoxic/NK Cell","M3.6_IL2RB"
"60","M3.6","CD160",1173,"M3.6.Cytotoxic/NK Cell","M3.6_CD160"
"61","M3.6","IFNG",1175,"M3.6.Cytotoxic/NK Cell","M3.6_IFNG"
"62","M3.6","KIR3DL2",1177,"M3.6.Cytotoxic/NK Cell","M3.6_KIR3DL2"
"63","M3.6","KLRF1",1178,"M3.6.Cytotoxic/NK Cell","M3.6_KLRF1"
"64","M3.6","GZMH",1183,"M3.6.Cytotoxic/NK Cell","M3.6_GZMH"
"65","M3.6","KLRG1",1184,"M3.6.Cytotoxic/NK Cell","M3.6_KLRG1"
"66","M3.6","KLRD1",1190,"M3.6.Cytotoxic/NK Cell","M3.6_KLRD1"
"67","M3.6","EOMES",1199,"M3.6.Cytotoxic/NK Cell","M3.6_EOMES"
"68","M3.6","CD8A",1200,"M3.6.Cytotoxic/NK Cell","M3.6_CD8A"
"69","M3.6","GNLY",1201,"M3.6.Cytotoxic/NK Cell","M3.6_GNLY"
"70","M3.6","CTSW",1203,"M3.6.Cytotoxic/NK Cell","M3.6_CTSW"
"71","M3.6","ABCB1",1205,"M3.6.Cytotoxic/NK Cell","M3.6_ABCB1"
"72","M3.6","GZMA",1209,"M3.6.Cytotoxic/NK Cell","M3.6_GZMA"
"73","M3.6","GZMM",1211,"M3.6.Cytotoxic/NK Cell","M3.6_GZMM"
"74","M4.1","CCR7",1217,"M4.1.T cells","M4.1_CCR7"
"75","M4.1","TCF7",1223,"M4.1.T cells","M4.1_TCF7"
"76","M4.1","LRRN3",1226,"M4.1.T cells","M4.1_LRRN3"
"77","M4.1","CD40LG",1228,"M4.1.T cells","M4.1_CD40LG"
"78","M4.1","CD3E",1232,"M4.1.T cells","M4.1_CD3E"
"79","M4.1","TXK",1257,"M4.1.T cells","M4.1_TXK"
"80","M4.1","DOCK9",1260,"M4.1.T cells","M4.1_DOCK9"
"81","M4.1","IL7R",1265,"M4.1.T cells","M4.1_IL7R"
"82","M4.1","CD28",1267,"M4.1.T cells","M4.1_CD28"
"83","M4.1","BCL2",1268,"M4.1.T cells","M4.1_BCL2"
"84","M4.1","ICOS",1276,"M4.1.T cells","M4.1_ICOS"
"85","M4.2","TLR5",1283,"M4.2.Inflammation","M4.2_TLR5"
