"","log2 fold-change from baseline","p-value","False Discovery Rate"
"CD1D",2.0814080766984,4.15137150398081e-05,0.0220022689710983
"TFRC",-0.223651791118935,0.231485822470972,1
"FPR2",0.72938275437815,0.124348540369723,1
"CD24",1.54492524246542,0.00137476226596137,0.599396347959159
"TNFRSF14",0.153826505489846,0.22530888936357,1
"DDX43",-0.512339599606636,0.309890665286152,1
"IL7R",-1.53923465257716,0.00185805777818919,0.77666815128308
"IL1A",1.06466736061672,0.127937147268524,1
"IKBKE",-0.444951163716462,0.0715979252783806,1
"ETS1",-1.1273381336221,0.017941404161546,1
"INPP5D",-0.323159870323938,0.290322709989775,1
"CD53",0.552758118783832,0.0818307704874881,1
"CD9",1.03194266739257,0.0438041294326461,1
"TICAM2",1.15963621761906,0.0173975878422523,1
"FCER1A",1.59858732756317,0.00120606630137973,0.53187523890846
"PIN1",-0.0170927736001265,0.921298678352874,1
"C4B",0.0993144556868534,0.807342156746637,1
"TNFRSF18",1.01110327240859,0.0219154022485084,1
"KIR3DL1",-0.937146849442462,0.00550963015116033,1
"ITGB1",0.426037720098446,0.00557290998781343,1
"CTSG",1.68235056847511,0.00063963865186463,0.296792334465188
"LTB",-1.0767468959717,0.000725249707887782,0.332889615920492
"SPP1",2.27841077698488,0.0244148612214435,1
"LGALS3",0.918191033299126,0.0116474069697387,1
"GZMB",-0.0144406788042797,0.952752292145858,1
"CARD11",-0.511063027379197,0.00556325595411765,1
"ATM",-0.673515911370324,0.0294489305143548,1
"ELK1",0.470792199530134,0.0115776487282856,1
"RORA",-1.25919957194599,3.23702879478558e-05,0.017285733764155
"IRAK4",-0.0392990741173795,0.82893892121601,1
"CXCL16",1.46052854185715,5.30681940981084e-05,0.0280200064838013
"SPN",0.114510619133116,0.716370775092615,1
"CXCR4",-0.513835130283649,0.00211950736052958,0.873237032538187
"PRF1",-0.417370190603623,0.0281772658063385,1
"JAK1",-0.440108613485495,0.00430066658167836,1
"DDX58",0.0444336820905908,0.888181670891,1
"C1QA",-0.57553166761355,0.189703747346199,1
"TNFSF10",0.536477757566151,0.0250677985630359,1
"TLR6",0.636753179543833,0.00454176272131307,1
"CLEC5A",0.683521054627151,0.353782698597494,1
"S100B",0.518796044654487,0.236385853302437,1
"TLR10",0.0319882530398212,0.898072160672911,1
"OAS3",1.65573670496556,0.00462926991352967,1
"F13A1",-1.01684864881849,0.013566162650023,1
"CD22",-0.412301831488327,0.257620638860586,1
"SMPD3",1.62377585991522,0.00112529983700481,0.500758427467139
"TIRAP",-0.215619611241769,0.244612442697568,1
"CD83",1.52787264226095,7.55293032551524e-06,0.00415411167903338
"STAT5B",-0.432155820106158,0.21759325007896,1
"KLRG1",-0.654805202046414,0.00333702363973394,1
"MAP2K2",0.487446646297189,0.00828093135424308,1
"CXCR2",-0.51005037621415,0.198638952933185,1
"ITGA2B",-1.54793230313694,0.00281874591988205,1
"IL1B",1.7320162581984,0.0507022608737272,1
"DUSP4",0.776938366332865,0.00736614170966517,1
"IL1RAP",0.279160317063588,0.292135476263078,1
"GPI",0.437919940830808,0.0556604256074634,1
"JAM3",-1.58414248029443,0.000115311227617194,0.0590393485400032
"MFGE8",-0.900345905920713,0.0014098205426571,0.613271936055837
"CDH1",0.506554294462474,0.300400680172888,1
"FOXP3",-1.24393623963014,0.00320629088575125,1
"STAT3",0.0561094531193509,0.546334793474927,1
"RELB",0.0347999226514986,0.882338674713968,1
"MAP3K5",-0.0641860360953279,0.478736796776721,1
"CXCR5",-1.2866484269395,0.000943856477664158,0.423791558471207
"BID",1.25690366278077,0.0109464315688135,1
"EP300",0.355708166874511,0.0135687596995643,1
"MEF2C",1.31571042405639,0.00296746646723834,1
"IFI35",0.87817250447286,0.0486921461997466,1
"CD36",1.04612167883453,0.0214012902395725,1
"PSEN2",0.0693672755504628,0.837575453316467,1
"CXCR3",-0.740405612334828,0.000457040637414759,0.218922465321669
"TLR1",0.563080766605181,0.000485760692934084,0.231222089836624
"MRC1",0.876024464056796,0.0995438782308294,1
"IKBKG",-0.145529487731218,0.464760602943884,1
"IL1R2",1.2528561656149,0.00288199274019346,1
"CR1",-0.237019454384919,0.52525740101355,1
"CFD",1.13764075411228,0.00526418482970601,1
"PTPRC",0.310627762253468,0.07321046084667,1
"APOE",0.000223325018679743,0.999035819012822,1
"LY9",-0.197010731227702,0.275264788461435,1
"ITGA1",0.150318737631576,0.743756908740649,1
"HLA-DMB",1.70795164988101,2.49343972911814e-05,0.0133897713453644
"FCER1G",1.0761645429237,0.00205836682007614,0.8542222303316
"CD40",-0.0149241469383275,0.969260866555716,1
"CASP1",1.33668097055844,0.000627516903957724,0.293628425508965
"SIGLEC1",2.08832761573077,0.00260614008457334,1
"ITGAX",1.2193400624439,1.33774506446986e-06,0.000753150471296532
"PTGS2",1.203790514508,0.000447349450227786,0.215175085559565
"CD27",-0.989110151980186,0.0073285017258097,1
"PSMB10",0.466088654103228,0.000158000063402932,0.0792040839778173
"PSMB8",0.0750294442112707,0.716439764729512,1
"TNFSF15",0.347979971693955,0.437980189536697,1
"HLA-A",0.0583043865869776,0.646196264388613,1
"CCR4",-1.61111950339261,0.000255860227621969,0.126650812672875
"HMGB1",-0.288976626692374,0.109602406435849,1
"THBS1",1.60680538443601,0.0054523632004701,1
"FOS",0.700450847320845,0.108419785756038,1
"SLAMF7",1.13945214998301,2.90351391139127e-05,0.0155337994259433
"LILRB1",0.70961110342806,0.063054068579661,1
"HLA-C",0.23960105448659,0.0180138673693259,1
"TOLLIP",0.0272535254498922,0.8464381188169,1
"TAP2",0.0821397799754247,0.39218846271508,1
"IL6",1.34276920591382,0.0702002355924098,1
"IL21R",-1.55948574041399,3.56620283033187e-05,0.0189721990573656
"CD84",0.401198424331126,0.0274624533196247,1
"KLRC2",-0.721638458439463,0.00318359472008274,1
"TNFRSF11A",1.15052108740877,0.000371637766589997,0.180244316796148
"CD3G",-1.7014660973348,0.00212233304768811,0.873237032538187
"IL2RG",-0.0969395525312645,0.640035684370693,1
"IFNGR1",0.493423818323167,0.00750254906965323,1
"LRRN3",-1.37855737999057,0.000557890600029969,0.262208582014085
"TLR4",0.921877113470577,0.000291539695945292,0.143154755317515
"LY96",0.940412346294247,0.00277776927679282,1
"PRG2",0.704470923891156,0.0519491664039015,1
"AXL",0.750005160425579,0.00773896051868411,1
"USP9Y",-0.819144079468233,0.00245446858412982,0.986696370820187
"IL1R1",1.36326348220381,0.00980549094980109,1
"CD96",-1.42009266826002,6.19204172491093e-05,0.032322457804035
"CCL2",1.34250913927114,0.155526554289629,1
"GZMK",-1.02031291012528,0.0144486937413576,1
"CD46",-0.0148009900279665,0.928277197724223,1
"IGF2R",0.135120368419807,0.276188514001085,1
"CYBB",1.23802646643908,0.000348104779358755,0.169178922768355
"PRKCD",0.625235699888547,0.00810835540456721,1
"IL15RA",0.109781879795429,0.644219572813014,1
"CCR3",-0.168065240427689,0.551311964115867,1
"IL8",0.931901997533974,0.00698494526411419,1
"AIRE",-0.343214823215851,0.256755311969201,1
"SLAMF6",-0.73798137405862,0.0246800957058559,1
"TNFRSF13C",-1.32370353810381,0.00258359710969367,1
"MAP3K7",0.103602197142592,0.335126618118499,1
"TNFSF12",0.0548360992195506,0.814638323333096,1
"IRF2",-0.488711460515429,0.171627314345668,1
"TPSAB1",0.690924047097135,0.0744151231581754,1
"IFI16",0.45912313728735,0.0151296347178727,1
"STAT1",1.25105446087023,0.00143124323372191,0.621159563435311
"CD81",-0.414365541703443,0.203638057963735,1
"HLA-DOB",-0.327517652310478,0.0895062760693727,1
"NOD2",1.39320226334743,7.08939315391723e-06,0.00390625562780839
"TNFAIP3",-0.529298438564537,0.00607135906371706,1
"RORC",-0.745238848980818,0.018509316298397,1
"SYK",1.2430163843038,0.000148366841055603,0.0750736215741352
"ICOSLG",0.950125572905964,6.5526583651598e-06,0.00361706741756821
"CD14",1.39569165725395,8.32949426815058e-05,0.04314678030902
"HCK",1.31397502252905,5.69537609771355e-05,0.0300146320349504
"CCR7",-0.823602034141044,0.0382977363621833,1
"PIK3CD",-0.16763693149404,0.0833391818800489,1
"CEBPB",0.618025652230104,0.0105366206771514,1
"CSF3R",0.492750251610897,0.0523758771978633,1
"TAP1",-0.0455403380554783,0.72626005766142,1
"CASP8",-0.246274194214952,0.0272733956486143,1
"TNFRSF1A",0.808335356920343,0.000330055645265591,0.160737099244343
"HLA-DRA",2.3668351713661,1.36082303805754e-05,0.00743009378779416
"IL16",-0.385257902988415,0.00310042526130555,1
"IL6ST",-0.40717058010835,0.0837563232862302,1
"GTF3C1",-0.247668562305383,0.0509377903025044,1
"CD164",0.190825317114816,0.6248964618124,1
"ICAM3",0.0686369605018147,0.710557849409779,1
"SH2D1A",-1.25384546014342,0.000144198030596926,0.0731084015126417
"CARD9",0.532763049869272,0.158165815905404,1
"CMA1",-0.791544703788667,0.0390898172655996,1
"SLAMF1",-0.282714797820081,0.40175065657141,1
"TNFRSF13B",-1.27077577164528,0.0106856307858417,1
"ITK",-1.30285164202351,0.00757705419367696,1
"PPARG",0.618126019657196,0.290496129145043,1
"SERPING1",1.97211797321076,0.00319061865046256,1
"CD58",0.775468608442097,0.00062865093669766,0.293628425508965
"YTHDF2",0.180171044190701,0.57976820543382,1
"NFKB1",0.99594242669708,0.00398462186299535,1
"TFEB",0.0270191176143195,0.902004474383291,1
"CASP3",-0.184710457432139,0.311555762673852,1
"BCL6",0.793608980343044,0.0145912972427762,1
"TNFRSF10C",-0.213490735818392,0.394857854630048,1
"CD6",-1.79956775394428,0.00022771803594173,0.112948145827098
"KLRK1",-0.686236650382243,0.000794455994442804,0.363059891461905
"IRAK2",0.553997975409776,0.160494118739289,1
"TLR7",1.44945110832203,0.00130417080493272,0.571226812560532
"CD160",-0.857114083926098,0.00488648012160119,1
"IRF1",0.460506229988884,0.00166785892598891,0.708840043545286
"NFKBIA",0.725191201197935,0.0152565418713704,1
"CLEC4C",1.95100665167367,0.00150560119402956,0.651925317014798
"ATG16L1",-0.623377870253661,0.0114482377730525,1
"TNFRSF9",0.886847726086002,0.0136245013965844,1
"XCL2",0.818253371868068,0.149278615008959,1
"NEFL",-0.900432219014187,0.0428362864979278,1
"PSEN1",0.439930986724299,0.0647674562323905,1
"CD163",1.45864241359114,0.00203871124933072,0.848103879721581
"HLA-DQB1",0.194243335089088,0.708107546871831,1
"KIR_Activating_Subgroup_2",-1.03801451331584,0.0148702839891449,1
"IL32",-0.526638101478505,0.194245494214605,1
"KIR_Inhibiting_Subgroup_1",-0.719829599057032,0.00446944022128861,1
"CD44",0.754786518460565,0.00162261814150041,0.692857946420676
"IRF8",1.08776636281869,7.96226749908746e-06,0.00437128485699902
"SIGIRR",-0.970094593205557,0.000512197954702272,0.241757434619472
"IL3RA",0.915345751254152,0.00997011100954335,1
"IRF7",1.37903925604892,5.7699512470572e-06,0.00320232294211675
"NT5E",-0.291762741025212,0.582355517680145,1
"IL13RA1",1.82291620393175,8.10406399122439e-06,0.00444102706719096
"CSF2RB",0.818337524837221,0.0281099480717925,1
"CYLD",-0.180203040747871,0.0154384983590015,1
"MICA",-0.637544882622357,0.0220274388550904,1
"TAL1",-1.15239603008374,0.00322628767920997,1
"SBNO2",0.0496980652535685,0.795894528169571,1
"ICOS",-1.29718022918884,0.00175228224471902,0.737710825026707
"TLR9",-0.0263363389171328,0.95217368722251,1
"CEACAM1",-0.0354102094858921,0.941598037035493,1
"TNF",0.425311788102108,0.199712274303619,1
"IL1RN",1.17822309917268,0.00724975375812676,1
"TLR8",0.215459604364535,0.217946515763677,1
"KIR3DL2",-0.950330095549075,0.0225732289485178,1
"REPS1",-0.0982266661041065,0.723041850982116,1
"CD180",1.38714952367274,0.00232402854842623,0.936583505015769
"CLEC4A",0.971968128425486,0.00171413251529754,0.726792186486155
"CD63",0.950377985208513,7.66181587351971e-05,0.0397648243835673
"TNFRSF4",0.142971521769702,0.668604645119676,1
"CTLA4",-0.461336837510986,0.00558712401187127,1
"C3AR1",0.459232278713817,0.183471938268716,1
"TLR2",0.955593740741324,2.32880834562275e-06,0.00130413267354874
"LTK",-0.465905613461745,0.178401293103434,1
"LTA",-0.920658733227923,0.00617390279436632,1
"PECAM1",0.382633682038354,0.0585761703891109,1
"CD244",-0.0869411152863552,0.474056980128937,1
"STAT2",0.632155726364481,0.000266563877287912,0.131682555380228
"IL4R",-0.486201859512872,0.0342278652785675,1
"C1R",-0.198317067582921,0.352020844125974,1
"GZMH",-0.581446076792139,0.0659690302091843,1
"ATG7",0.338312877465404,0.187532660358309,1
"KLRC1",-0.288051732279633,0.0942603798324047,1
"ITGA4",0.602540514416048,0.0140150723197882,1
"MAP2K1",0.906963897584245,0.000659039574023383,0.304476283198803
"COL3A1",-0.704232385591886,0.00224110358432157,0.907646951650235
"CCL20",0.115520131497751,0.801674713006149,1
"CR2",-0.760143246641397,0.0101596242207338,1
"IL15",0.653615040049983,0.000424137722253806,0.204434382126334
"CD33",0.860751365090707,0.0776681779709499,1
"PLAU",-0.135808402765766,0.779467114136009,1
"TNFRSF8",-0.436196140868024,0.0831151052349988,1
"ICAM4",0.735217368822374,0.0580092645118526,1
"IFNB1",-0.221981224518959,0.680670982895793,1
"CD86",2.05672509254019,0.000280035213918978,0.138057360462056
"IL2RA",-0.301150696306784,0.33085429487429,1
"BTLA",-0.370331303460686,0.130230968276321,1
"TGFB1",-0.387451739608259,0.0494030614204607,1
