"","log2 fold-change from baseline","p-value","False Discovery Rate"
"TLR8",0.633611031887662,0.00991610790615377,0.0203352067930545
"KIR3DL2",-0.8858035696001,0.00799695738640909,0.0170371270918994
"REPS1",-0.107931562524412,0.622970430487718,0.677558097952706
"CD180",1.22998055297224,9.94546033510527e-05,0.000686479335325559
"CLEC4A",0.742397184985991,0.00140387703206012,0.00449786184312953
"CD63",0.797428612857095,0.000566359444456153,0.00235705474678075
"TNFRSF4",-0.39159370530581,0.274099000644488,0.333634482504904
"CTLA4",-0.720824229297153,0.00122581242911063,0.00412982044569415
"C3AR1",0.397448196203951,0.0879101690063339,0.12596748267743
"TLR2",0.864396097819129,0.00021003619793399,0.00118880488030638
"LTK",-0.44658340710209,0.135697650827411,0.182002062484158
"LTA",-1.00183442798554,0.00047856590856789,0.00206769697900325
"PECAM1",0.430996498865579,0.0128752190968387,0.0252158270201062
"CD244",0.105376650835697,0.554317358148834,0.615183577867138
"STAT2",0.229690040065779,0.0937258495069224,0.133288519650548
"IL4R",-0.548254616505666,0.017683697150862,0.032602516571296
"C1R",-0.578625150311433,0.0953328552109435,0.134895990123485
"GZMH",-0.959785736675699,4.06058141024298e-06,9.43405230991784e-05
"ATG7",0.0486515448427056,0.708698342973426,0.748364295005521
"KLRC1",-0.425080665420757,0.15234038739185,0.20098988173377
"ITGA4",0.39956106272693,0.0191233070027098,0.0346916402677364
"MAP2K1",1.01142349063215,0.00456842185420763,0.0107738615395063
"COL3A1",-0.568302365956918,0.0132513469349899,0.0255981650689566
"CCL20",-0.663192186290924,0.0693603962000175,0.102769592275419
"CR2",-0.728758672032905,0.0014874082412587,0.00460583975061657
"IL15",0.458790160909096,0.0116623836920191,0.0232426379214183
"CD33",0.74521520873619,0.0227706755602758,0.0402756323972377
"PLAU",-0.492229168626888,0.196895361396562,0.2509972399785
"TNFRSF8",-0.604607946553529,0.0941852963848159,0.133606209909288
"ICAM4",0.402103473032324,0.187260192516023,0.239668830117062
"IFNB1",-0.662801644643612,0.0887569916845345,0.126859740640017
"CD86",2.54501837695083,2.11872104646806e-05,0.000230614636980947
"IL2RA",-0.858312830434768,0.0429221062969454,0.0686268705199749
"BTLA",-0.713900754708258,0.00502860411997183,0.0115698777719677
"TGFB1",-0.581785460490989,0.00177630994731662,0.00520928202166429
"SMAD3",0.632466365330678,5.33482846578008e-06,9.50082913903189e-05
"HLA-DQA1",0.334738535397118,0.539988488847204,0.604018744441735
"IFITM2",-0.0461176562532467,0.788802995174921,0.820703116303318
"NCAM1",-0.903412908571689,0.0103854774461396,0.0209935008375535
"EGR2",1.10168479826074,0.0124652844306697,0.0245831044869654
"IFIH1",0.11985650462764,0.47701298945096,0.542147293231412
"JAK3",-0.83047968041839,0.000382377420979583,0.00174536790543906
"CD70",0.432071158888949,0.0532216675413294,0.0816354033289768
"TNFSF14",-0.574742928419014,0.0480104052789095,0.0748591994155999
"ENG",0.940140369573881,0.0121310854147366,0.0240076725340592
"CD3D",-1.45399383224291,0.000817809823404016,0.00310381499916523
"ALCAM",2.23217165737759,1.30889507243935e-05,0.000167064692847213
"CD1C",3.23543278838224,5.45993734622947e-06,9.50082913903189e-05
"MAPK1",-0.164236915925622,0.060427923703234,0.0916949190778296
"ATF2",-0.311700275287009,0.0119488731093226,0.0237300427364092
"ARG1",1.86591350898858,0.00483991978430458,0.0112270270406409
"CD247",-1.43929898956532,2.71431686522441e-06,7.68151672858507e-05
"TRAF3",-0.105048965193242,0.271162180724312,0.330771108383535
"ABCB1",-1.16488740868455,7.35400364595509e-05,0.000562990016372289
"BCL10",0.28779866300011,0.000506048200685874,0.00216987334536519
"TANK",0.602667231777417,0.0014933753818207,0.00460583975061657
"NOTCH1",-0.500263471431195,0.00528088976854572,0.0120523532620842
"THBD",1.17992403532134,0.00091795478295578,0.00330931469524186
"UBC",0.475740504366112,0.000823432327923743,0.00310381499916523
"IL6R",0.641262105549174,0.00275092004518139,0.00741438450272698
"MAVS",0.0212681528647827,0.914566420686323,0.925251188276813
"LIF",-0.551454310313416,0.0988795958320737,0.138529334754836
"BST1",0.750056917846005,0.00330302611057814,0.00845933383976121
"PRKCE",0.108682352871521,0.714001522965824,0.752560264429528
"MICB",-0.15622378247403,0.362189052758454,0.429767303692421
"IL22RA1",0.0959077794124181,0.807600289483523,0.835652219099953
"KLRB1",-1.21505317201083,1.08025598168221e-05,0.000160901285692666
"NFATC2",-1.15470384332222,4.52296324703388e-06,9.48147110304138e-05
"CD200",-0.515729444268463,0.0265134754184924,0.0456128482883486
"LAMP2",0.592124935686758,2.09878000244156e-05,0.000230614636980947
"CD55",-0.691019662424302,0.063951814401711,0.0962761465364878
"ITGAM",0.550740295598022,0.00258311713997239,0.0071319234206067
"TNFRSF17",-0.507769877029671,0.235854417696963,0.29339252838787
"TREM1",0.352936200495831,0.0181225223090105,0.0331952997634302
"MUC1",0.474655955648352,0.111015775465787,0.154007178709891
"CLEC7A",1.01749321509191,1.1096509968681e-05,0.000161041657494191
"FUT5",-0.327274232424997,0.229435969001572,0.289222179186837
"SLC11A1",0.343917572366045,0.0308990679556901,0.0520502156634542
"IRAK1",0.457260439497983,0.000251084525335409,0.0013406966164136
"IL10",-0.410296934764045,0.0982504367093847,0.1379894470906
"IFNAR1",-0.0921418319890226,0.634455160478709,0.686618777879444
"STAT6",-0.0125488651742903,0.867380550336534,0.887771051519852
"CCL8",0.685414284334853,0.0823616810497889,0.118920182332093
"IRF3",-1.08418120619807,0.000475227351012412,0.00206769697900325
